COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_LAST_DOSE,PERSONS_LAST_DOSE_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED,PERSONS_BOOSTER_ADD_DOSE,PERSONS_BOOSTER_ADD_DOSE_PER100
Dominican Republic,DOM,AMRO,REPORTING,2023-11-17,16413338.0,7360900,151.304,67.855,6126215,56.474,,2021-02-16,5.0,2571636.0,23.706
Germany,DEU,EURO,REPORTING,2023-09-03,193241457.0,64868618,232.4,77.932,63566137,76.368,,2020-12-23,9.0,52143826.0,62.645
Gibraltar,GIB,EURO,OWID,2022-12-16,132810.0,42175,394.2,125.182,41465,123.074,,,2.0,49170.0,145.944
Guatemala,GTM,AMRO,REPORTING,2023-11-17,20383072.0,8937923,113.773,49.889,7130756,39.802,,2021-02-25,5.0,3723701.0,20.785
Israel,ISR,EURO,REPORTING,2022-06-05,17915305.0,7055466,207.0,79.274,6385731,71.749,,2020-12-16,3.0,4474108.0,50.271
Kazakhstan,KAZ,EURO,REPORTING,2023-04-30,38355605.0,12443364,204.3,64.821,13070774,68.089,,2021-04-07,5.0,6801526.0,35.431
Kuwait,KWT,EMRO,REPORTING,2023-11-14,8261198.0,3457487,193.445,80.961,3346164,78.354,,2020-12-28,10.0,1457547.0,34.13
Lao People's Democratic Republic,LAO,WPRO,REPORTING,2023-05-21,13879410.0,6324678,190.768,86.93,5691962,78.234,,2020-11-25,8.0,2451034.0,33.689
Micronesia (Federated States of),FSM,WPRO,REPORTING,2023-03-28,198749.0,83871,172.791,72.917,80910,70.342,,2021-01-13,4.0,30537.0,26.549
Rwanda,RWA,AFRO,REPORTING,2023-06-04,27322059.0,10884714,210.945,84.037,10399665,80.293,,2021-03-05,7.0,4225194.0,32.621
"Saint Helena, Ascension and Tristan da Cunha",SHN,AFRO,OWID,2021-05-05,7892.0,4361,129.995,71.833,3531,58.162,,,1.0,,
Saint Lucia,LCA,AMRO,REPORTING,2023-06-02,122977.0,60140,66.971,32.751,54971,29.936,,2021-02-17,5.0,7866.0,4.284
Serbia,SRB,EURO,REPORTING,2023-03-05,6722671.0,3398116,97.1,46.57,3324555,45.562,,2020-12-23,5.0,0.0,0.0
Sweden,SWE,EURO,REPORTING,2023-10-01,23237123.0,7473037,225.0,71.496,7334822,70.174,,2020-12-23,5.0,5542831.0,53.03
Tuvalu,TUV,WPRO,REPORTING,2023-02-01,26783.0,9763,227.129,82.793,9505,80.605,,2021-04-13,1.0,5745.0,48.719
Thailand,THA,SEARO,REPORTING,2023-09-01,139343323.0,57666184,199.632,82.616,54196116,77.645,,2021-02-28,8.0,27481023.0,39.371
The United Kingdom,GBR,EURO,REPORTING,2022-09-11,151248820.0,53813491,222.8,79.983,50762968,75.449,,2020-12-21,3.0,,
Turkey,TUR,EURO,REPORTING,2023-01-29,139694693.0,50974980,,60.735,50670345,59.77,,,3.0,27896331.0,32.906
Afghanistan,AFG,EMRO,REPORTING,2023-11-14,22495714.0,18817341,57.787,48.338,18036203,46.332,,2021-02-22,11.0,2595111.0,6.666
Burundi,BDI,AFRO,REPORTING,2023-11-05,41538.0,36909,0.349,0.31,36321,0.305,,2021-10-18,1.0,314.0,0.003
Cabo Verde,CPV,AFRO,REPORTING,2022-09-25,859940.0,356734,154.669,64.162,308720,55.526,,2021-03-18,4.0,749.0,0.135
Cayman Islands,CYM,AMRO,REPORTING,2023-06-09,151970.0,62113,231.239,94.512,60688,92.343,,2021-01-15,1.0,24064.0,36.616
Falkland Islands (Malvinas),FLK,AMRO,REPORTING,2022-06-21,9390.0,3220,269.595,92.449,2976,85.444,,,1.0,2543.0,73.012
Faroe Islands,FRO,EURO,OWID,2022-02-18,103894.0,41715,212.614,85.368,40895,83.69,,,2.0,21284.0,43.557
France,FRA,EURO,REPORTING,2023-07-09,158060078.0,54677676,234.8,80.56,53189148,78.367,,2020-12-23,9.0,41042160.0,60.47
Italy,ITA,EURO,REPORTING,2023-10-01,150322633.0,50581361,252.0,85.692,49484658,83.829,,2020-12-23,9.0,44917500.0,76.092
Kiribati,KIR,WPRO,REPORTING,2023-02-06,219980.0,100900,184.162,84.471,81474,68.208,,2021-05-26,2.0,37606.0,31.483
Nauru,NRU,WPRO,REPORTING,2023-02-20,32157.0,13106,296.816,120.971,11346,104.726,,2021-04-09,2.0,7705.0,71.119
New Zealand,NZL,WPRO,REPORTING,2023-04-21,12252378.0,4241210,254.081,87.951,4084115,84.693,,2021-02-19,4.0,2719283.0,56.391
Nicaragua,NIC,AMRO,REPORTING,2023-08-11,15507763.0,6404524,234.095,96.679,6126708,92.485,,2021-03-03,11.0,2892531.0,43.664
Palau,PLW,WPRO,REPORTING,2023-03-10,51032.0,18573,282.069,102.659,18278,101.028,,2021-01-03,3.0,12885.0,71.219
Paraguay,PRY,AMRO,REPORTING,2023-09-22,9867488.0,3993125,138.345,55.985,3549775,49.769,,2021-02-22,8.0,1660766.0,23.284
Philippines,PHL,WPRO,REPORTING,2023-03-19,189317158.0,82684774,172.764,75.455,78443972,71.585,,2021-03-01,11.0,23811248.0,21.729
Pitcairn Islands,PCN,WPRO,REPORTING,2022-08-29,117.0,47,234.0,94.0,47,94.0,,2021-05-17,1.0,23.0,46.0
Republic of Korea,KOR,WPRO,REPORTING,2023-09-04,135927574.0,44698288,265.125,87.184,44288342,86.384,,2021-02-26,5.0,33644119.0,65.622
Russian Federation,RUS,EURO,OWID,2023-09-27,187374508.0,89081596,128.4,61.392,79702396,54.928,,,2.0,,
Samoa,WSM,WPRO,REPORTING,2023-02-24,453130.0,191403,228.376,96.466,177954,89.688,,2021-04-18,2.0,82268.0,41.463
Sierra Leone,SLE,AFRO,REPORTING,2023-07-30,9155936.0,5676123,114.779,71.156,4961886,62.203,,2021-03-15,2.0,1201709.0,15.065
Singapore,SGP,WPRO,REPORTING,2023-08-29,15302530.0,5284679,261.566,90.331,5248693,89.716,,2020-12-30,4.0,4769158.0,81.519
Sint Eustatius,XBA,AMRO,REPORTING,2023-06-02,4319.0,1791,137.592,57.056,1686,53.711,,,,767.0,24.435
Spain,ESP,EURO,REPORTING,2023-09-03,112886307.0,41332084,238.5,87.138,37485721,79.029,,2020-12-30,4.0,26573833.0,56.024
Switzerland,CHE,EURO,REPORTING,2023-07-02,16755985.0,6096600,193.6,70.145,5723066,65.847,,2020-12-23,6.0,4996650.0,57.49
Syrian Arab Republic,SYR,EMRO,REPORTING,2023-04-18,5090630.0,3295630,29.088,18.831,2358365,13.476,,2021-04-01,11.0,75881.0,0.434
Timor-Leste,TLS,SEARO,REPORTING,2023-11-22,2028798.0,886838,153.878,67.264,801759,60.811,,2021-04-07,4.0,340201.0,25.803
Viet Nam,VNM,WPRO,REPORTING,2023-06-30,266492149.0,90272853,273.779,92.741,85961564,88.312,,2021-03-08,6.0,57975220.0,59.56
